epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4032.12,1.24353,1.14164,1.23662,0.62111,0.36544,0.37616,0.18708,1.92692,2.04291,1.80082,0.00571,0.00571,0.00571
67,4093.15,1.23568,1.13449,1.23384,0.61883,0.36726,0.37688,0.18766,1.92602,2.04214,1.79898,0.005644,0.005644,0.005644
68,4153.89,1.23051,1.1239,1.22859,0.62168,0.36613,0.37699,0.18808,1.92527,2.04051,1.79761,0.005578,0.005578,0.005578
69,4214.64,1.23393,1.1351,1.23454,0.61785,0.369,0.37706,0.1882,1.92466,2.03953,1.79624,0.005512,0.005512,0.005512
70,4275.46,1.21209,1.10046,1.21586,0.62127,0.3677,0.37757,0.1885,1.92485,2.03791,1.79564,0.005446,0.005446,0.005446
71,4336.32,1.21845,1.11112,1.22096,0.62442,0.36579,0.3805,0.18942,1.92435,2.03545,1.79482,0.00538,0.00538,0.00538
72,4397.25,1.21594,1.10874,1.21898,0.62152,0.36766,0.38082,0.18983,1.92389,2.03533,1.79397,0.005314,0.005314,0.005314
73,4458,1.21303,1.10636,1.21968,0.62749,0.36398,0.38122,0.18979,1.92292,2.03409,1.79279,0.005248,0.005248,0.005248
74,4519.59,1.19856,1.0857,1.21049,0.62881,0.36306,0.38104,0.18975,1.92278,2.03305,1.79207,0.005182,0.005182,0.005182
75,4580.38,1.18923,1.07656,1.20476,0.62661,0.36531,0.38191,0.19012,1.92236,2.03161,1.79085,0.005116,0.005116,0.005116
76,4640.55,1.19459,1.08795,1.21181,0.62203,0.36819,0.38286,0.19061,1.92127,2.03001,1.78946,0.00505,0.00505,0.00505
77,4701.6,1.18588,1.07083,1.20364,0.62486,0.36651,0.38405,0.19071,1.92002,2.02903,1.7883,0.004984,0.004984,0.004984
78,4762.3,1.18864,1.07074,1.20278,0.63008,0.36585,0.38418,0.19104,1.91926,2.02725,1.78752,0.004918,0.004918,0.004918
79,4823,1.1794,1.06645,1.20173,0.62717,0.36792,0.38475,0.19135,1.91855,2.02584,1.78617,0.004852,0.004852,0.004852
80,4883.44,1.17845,1.0675,1.19649,0.62608,0.36865,0.38429,0.19141,1.91851,2.025,1.78563,0.004786,0.004786,0.004786
81,4943.56,1.16298,1.0424,1.18988,0.62873,0.36843,0.38517,0.19146,1.9181,2.0241,1.7843,0.00472,0.00472,0.00472
82,5004.2,1.16873,1.05536,1.1936,0.63038,0.36777,0.38515,0.19161,1.91707,2.02219,1.78328,0.004654,0.004654,0.004654
83,5064.47,1.16634,1.06235,1.19489,0.63211,0.3673,0.38576,0.19173,1.91635,2.02147,1.78272,0.004588,0.004588,0.004588
84,5125.05,1.15862,1.04158,1.18781,0.63349,0.36712,0.38654,0.19205,1.9154,2.01931,1.78169,0.004522,0.004522,0.004522
85,5185.42,1.14754,1.03543,1.18752,0.63215,0.36738,0.38631,0.19213,1.91472,2.01783,1.78087,0.004456,0.004456,0.004456
86,5246.24,1.15481,1.03244,1.18465,0.63376,0.3668,0.38396,0.19215,1.9141,2.01688,1.7801,0.00439,0.00439,0.00439
87,5306.75,1.15466,1.03579,1.1849,0.63548,0.36539,0.38446,0.1928,1.9136,2.01601,1.77911,0.004324,0.004324,0.004324
88,5367.25,1.14555,1.03278,1.18198,0.63761,0.36441,0.38476,0.19284,1.91319,2.01458,1.77841,0.004258,0.004258,0.004258
89,5424.57,1.13885,1.01869,1.17522,0.63923,0.36357,0.38494,0.19272,1.9122,2.01329,1.77706,0.004192,0.004192,0.004192
90,5484.86,1.1352,1.01847,1.1784,0.63964,0.36321,0.38512,0.19289,1.91288,2.0151,1.77739,0.004126,0.004126,0.004126
91,5545.49,1.13142,1.01338,1.16999,0.64207,0.36174,0.38571,0.1935,1.91266,2.01433,1.77609,0.00406,0.00406,0.00406
92,5605.78,1.13491,1.017,1.17772,0.64325,0.36135,0.38839,0.19384,1.91203,2.0142,1.77563,0.003994,0.003994,0.003994
93,5666.24,1.12407,1.00625,1.16832,0.64045,0.36366,0.38824,0.19427,1.91171,2.01276,1.77458,0.003928,0.003928,0.003928
94,5727.02,1.11672,1.00261,1.166,0.64251,0.36375,0.3884,0.19412,1.9107,2.01208,1.77334,0.003862,0.003862,0.003862
95,5787.12,1.11644,0.99727,1.16416,0.6442,0.3634,0.38902,0.19444,1.90997,2.01078,1.77227,0.003796,0.003796,0.003796
96,5847.37,1.11382,1.00357,1.16464,0.6426,0.36658,0.39016,0.19507,1.90931,2.0094,1.77119,0.00373,0.00373,0.00373
97,5907.65,1.11867,1.00028,1.1665,0.64193,0.36597,0.39068,0.19508,1.90825,2.00834,1.76998,0.003664,0.003664,0.003664
98,5968.37,1.10836,0.98803,1.15935,0.64088,0.36866,0.39111,0.19526,1.90733,2.00771,1.76894,0.003598,0.003598,0.003598
99,6028.46,1.10945,0.98877,1.1587,0.63801,0.3706,0.39201,0.19535,1.907,2.00727,1.76803,0.003532,0.003532,0.003532
100,6089.02,1.1076,0.98841,1.16244,0.63676,0.37191,0.39246,0.1956,1.90637,2.00606,1.76729,0.003466,0.003466,0.003466
101,6149.23,1.09724,0.97925,1.15665,0.63636,0.37205,0.39213,0.19597,1.90601,2.00612,1.7669,0.0034,0.0034,0.0034
102,6209.13,1.09874,0.97659,1.15897,0.52157,0.37644,0.3929,0.19628,1.90647,2.00573,1.76644,0.003334,0.003334,0.003334
103,6269.79,1.09084,0.96955,1.15289,0.52727,0.37527,0.39327,0.19652,1.90637,2.00395,1.76604,0.003268,0.003268,0.003268
104,6330.12,1.08256,0.96964,1.14763,0.53166,0.37645,0.3938,0.19644,1.90539,2.00249,1.76465,0.003202,0.003202,0.003202
105,6390.65,1.08843,0.97011,1.15202,0.5359,0.37617,0.39309,0.19671,1.90523,2.00209,1.76416,0.003136,0.003136,0.003136
106,6451.25,1.08304,0.96846,1.15025,0.54078,0.37825,0.39484,0.19709,1.90468,2.00185,1.76316,0.00307,0.00307,0.00307
107,6511.74,1.07453,0.95933,1.14495,0.54638,0.37622,0.3937,0.19701,1.90444,2.00109,1.7624,0.003004,0.003004,0.003004
108,6572.23,1.06714,0.95128,1.14313,0.54783,0.37856,0.39386,0.19723,1.90406,2.00044,1.76166,0.002938,0.002938,0.002938
109,6632.76,1.0744,0.95135,1.14411,0.55148,0.37824,0.39528,0.19789,1.90317,1.99938,1.76055,0.002872,0.002872,0.002872
110,6692.89,1.07232,0.95812,1.14321,0.55474,0.3774,0.39537,0.19801,1.903,1.99889,1.7597,0.002806,0.002806,0.002806
111,6753.02,1.06976,0.95443,1.14214,0.55735,0.3754,0.39599,0.19814,1.90267,1.99879,1.759,0.00274,0.00274,0.00274
112,6813.14,1.06173,0.94925,1.13897,0.56049,0.37581,0.39714,0.1987,1.90226,1.99746,1.75857,0.002674,0.002674,0.002674
113,6873.4,1.05653,0.93741,1.13355,0.56337,0.37319,0.39781,0.19902,1.90177,1.9971,1.75787,0.002608,0.002608,0.002608
114,6933.2,1.06106,0.94491,1.13976,0.56807,0.37292,0.39896,0.19946,1.90139,1.99588,1.75684,0.002542,0.002542,0.002542
115,6993.18,1.05581,0.94162,1.13327,0.57196,0.37183,0.39898,0.19971,1.9009,1.99567,1.7561,0.002476,0.002476,0.002476
116,7053.4,1.03949,0.92754,1.12531,0.57515,0.37317,0.39954,0.19998,1.90063,1.99448,1.75536,0.00241,0.00241,0.00241
117,7113.18,1.04792,0.92598,1.13049,0.57951,0.37362,0.40046,0.20006,1.90014,1.99382,1.75485,0.002344,0.002344,0.002344
118,7172.84,1.04682,0.92794,1.13108,0.5619,0.37406,0.4015,0.20035,1.89941,1.99208,1.75383,0.002278,0.002278,0.002278
119,7232.85,1.04029,0.9211,1.12756,0.5639,0.37288,0.40202,0.20083,1.89922,1.99117,1.75316,0.002212,0.002212,0.002212
120,7293.13,1.03856,0.92192,1.12614,0.56689,0.3717,0.4028,0.2011,1.89864,1.9903,1.75192,0.002146,0.002146,0.002146
121,7353.46,1.03799,0.92161,1.12454,0.56991,0.37084,0.4045,0.20153,1.89812,1.98871,1.75128,0.00208,0.00208,0.00208
122,7414.66,1.03085,0.90962,1.11985,0.57083,0.36996,0.40505,0.20193,1.8978,1.98807,1.75062,0.002014,0.002014,0.002014
123,7474.83,1.03424,0.92011,1.1267,0.57002,0.37067,0.40383,0.20163,1.89739,1.98674,1.74976,0.001948,0.001948,0.001948
124,7534.8,1.02282,0.90168,1.11715,0.56954,0.37129,0.40386,0.20198,1.8972,1.98548,1.74877,0.001882,0.001882,0.001882
125,7595.04,1.02499,0.90595,1.11988,0.57194,0.3705,0.40457,0.2023,1.89629,1.9841,1.74831,0.001816,0.001816,0.001816
126,7655.14,1.02374,0.9082,1.11893,0.57293,0.37068,0.40514,0.20278,1.89587,1.98337,1.74762,0.00175,0.00175,0.00175
127,7715.46,1.01872,0.90295,1.11805,0.57409,0.37085,0.40552,0.20309,1.89519,1.98252,1.74658,0.001684,0.001684,0.001684
128,7775.74,1.0193,0.90317,1.11828,0.57267,0.37116,0.40511,0.20288,1.89536,1.98137,1.74616,0.001618,0.001618,0.001618
129,7836.33,1.02156,0.90876,1.12036,0.57374,0.37134,0.40555,0.20266,1.89501,1.97988,1.74543,0.001552,0.001552,0.001552
130,7896.82,1.01096,0.89123,1.11337,0.57773,0.36982,0.40428,0.20241,1.89482,1.97962,1.74495,0.001486,0.001486,0.001486
131,7956.75,1.00942,0.89226,1.11683,0.5741,0.37032,0.40375,0.20267,1.89465,1.97903,1.7446,0.00142,0.00142,0.00142
132,8017.27,1.00481,0.88826,1.11295,0.49903,0.41373,0.40428,0.20298,1.89443,1.97848,1.74393,0.001354,0.001354,0.001354
133,8077.39,0.99669,0.88201,1.10517,0.4995,0.41329,0.40348,0.20272,1.89455,1.9777,1.74364,0.001288,0.001288,0.001288
134,8137.91,1.00004,0.88804,1.11037,0.49731,0.41333,0.40483,0.20398,1.89457,1.97614,1.7431,0.001222,0.001222,0.001222
135,8197.76,0.99547,0.88244,1.10712,0.49979,0.41433,0.40425,0.20368,1.89402,1.97522,1.74212,0.001156,0.001156,0.001156
136,8258.16,0.9905,0.8802,1.10816,0.50269,0.41407,0.40364,0.20359,1.89415,1.97511,1.74218,0.00109,0.00109,0.00109
137,8318.7,0.99731,0.88499,1.10704,0.50288,0.41475,0.40324,0.20343,1.89442,1.9743,1.7419,0.001024,0.001024,0.001024
138,8379.23,0.98961,0.87829,1.10492,0.50558,0.41511,0.40334,0.20284,1.8948,1.97457,1.74147,0.000958,0.000958,0.000958
139,8439.79,0.99702,0.88401,1.10792,0.50769,0.41361,0.40301,0.20303,1.89506,1.97436,1.74116,0.000892,0.000892,0.000892
140,8500.18,0.98682,0.87603,1.10479,0.50959,0.41316,0.40257,0.20283,1.89507,1.97373,1.74084,0.000826,0.000826,0.000826
141,8566.61,1.7573,1.85169,1.63143,0.50901,0.41341,0.40229,0.20318,1.89328,1.9713,1.73869,0.00076,0.00076,0.00076
142,8625.67,1.70127,1.74508,1.58085,0.51207,0.40801,0.40332,0.20418,1.89095,1.96767,1.73588,0.000694,0.000694,0.000694
143,8685.07,1.697,1.72739,1.57327,0.51437,0.40863,0.40453,0.20523,1.88834,1.96397,1.73233,0.000628,0.000628,0.000628
144,8744.95,1.68999,1.71941,1.57438,0.51722,0.41041,0.40624,0.20606,1.88557,1.95953,1.72936,0.000562,0.000562,0.000562
145,8805.1,1.67464,1.70405,1.55861,0.51027,0.42961,0.40828,0.20737,1.88258,1.95456,1.72641,0.000496,0.000496,0.000496
146,8865.47,1.66689,1.68302,1.55584,0.51347,0.43221,0.40883,0.20795,1.88009,1.94958,1.72384,0.00043,0.00043,0.00043
147,8925.46,1.66155,1.68628,1.55801,0.51512,0.43422,0.41076,0.20912,1.8777,1.94471,1.72112,0.000364,0.000364,0.000364
148,8986.52,1.65126,1.67012,1.55015,0.51536,0.43594,0.41152,0.20982,1.87505,1.9404,1.71797,0.000298,0.000298,0.000298
149,9047.36,1.65013,1.66508,1.54931,0.51826,0.43515,0.41305,0.2108,1.87274,1.93634,1.71564,0.000232,0.000232,0.000232
150,9108.11,1.65205,1.66294,1.54436,0.51973,0.43754,0.41427,0.21167,1.86994,1.93218,1.7125,0.000166,0.000166,0.000166
