epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,11421.9,0.50376,0.44083,0.94476,0.50365,0.45548,0.4663,0.23761,1.88754,1.77417,1.75112,0.000568,0.000568,0.000568
74,11579.6,0.49565,0.43158,0.93949,0.50289,0.45348,0.46717,0.23841,1.88815,1.7721,1.75132,0.000562,0.000562,0.000562
75,11733.3,0.4884,0.42821,0.93583,0.49211,0.4575,0.46776,0.23871,1.88807,1.76955,1.75126,0.000556,0.000556,0.000556
76,11888,0.49244,0.42869,0.93588,0.49267,0.45582,0.46793,0.23945,1.88817,1.76838,1.75099,0.00055,0.00055,0.00055
77,12044.1,0.48768,0.42398,0.93749,0.47572,0.46794,0.46865,0.23951,1.88815,1.76655,1.75147,0.000544,0.000544,0.000544
78,12199.1,0.48866,0.4241,0.93777,0.47263,0.47376,0.47102,0.24008,1.88935,1.76479,1.75218,0.000538,0.000538,0.000538
79,12354,0.48913,0.42466,0.93787,0.47155,0.47375,0.47246,0.24048,1.89022,1.76249,1.7529,0.000532,0.000532,0.000532
80,12507.7,0.48788,0.42137,0.93644,0.47281,0.47252,0.47158,0.24055,1.89043,1.76068,1.75326,0.000526,0.000526,0.000526
81,12663.6,0.47987,0.41404,0.93153,0.47169,0.47804,0.47295,0.24063,1.89085,1.7596,1.75364,0.00052,0.00052,0.00052
82,12820.1,0.47588,0.4107,0.93018,0.47411,0.4802,0.47396,0.24072,1.89097,1.75861,1.7539,0.000514,0.000514,0.000514
83,12974.4,0.47135,0.40642,0.92871,0.4767,0.48067,0.47579,0.24107,1.8917,1.75739,1.75434,0.000508,0.000508,0.000508
84,13131.7,0.47124,0.40703,0.92934,0.47958,0.47772,0.47517,0.24093,1.89216,1.75661,1.75452,0.000502,0.000502,0.000502
85,13285.3,0.46963,0.40578,0.93003,0.47152,0.48935,0.47555,0.24129,1.89244,1.75572,1.75499,0.000496,0.000496,0.000496
86,13441.1,0.47245,0.4069,0.9298,0.473,0.49025,0.4756,0.2412,1.89288,1.75446,1.75518,0.00049,0.00049,0.00049
87,13596.2,0.46572,0.40032,0.9269,0.47256,0.49161,0.47607,0.2413,1.8935,1.7536,1.75582,0.000484,0.000484,0.000484
88,13750.3,0.46576,0.40033,0.92739,0.47319,0.49256,0.4766,0.24112,1.89413,1.75169,1.7565,0.000478,0.000478,0.000478
